augmentation,dalle2,dalle3,firefly,midjourney-v5,AVG
Blur,0.886658024691358,0.9962765432098766,0.9516370370370371,0.9380530864197532,0.9431561728395061
Compres,0.7758654320987655,0.9637345679012346,0.893679012345679,0.8319753086419752,0.8663135802469135
Equalize,0.8269679012345679,0.980683950617284,0.9206382716049383,0.8696135802469136,0.899475925925926
Gamma,0.8521358024691358,0.9895740740740742,0.9380493827160494,0.9075506172839506,0.9218274691358025
Gaussian,0.8970012345679013,0.9977839506172839,0.9684061728395061,0.9490975308641976,0.9530722222222222
Grayscale,0.8334061728395062,0.9833580246913579,0.9276506172839506,0.8985382716049384,0.9107382716049383
Median,0.843958024691358,0.9866135802469136,0.9187580246913579,0.9039061728395063,0.913308950617284
Original,0.918648148148148,0.9974666666666666,0.9751716049382716,0.9431049382716049,0.9585978395061727
Resize,0.849862962962963,0.993158024691358,0.9494975308641976,0.9282061728395061,0.9301811728395062
S-Resolut,0.9196555555555556,0.9962567901234567,0.9679580246913582,0.9355827160493828,0.9548632716049383
Shadow,0.8317913580246915,0.988041975308642,0.9497259259259261,0.9274518518518517,0.9242527777777778
Shaprn,0.9042888888888888,0.9976765432098765,0.9738567901234568,0.9470259259259259,0.9557120370370371
Wht/Drk,0.8605506172839507,0.9906654320987655,0.9441814814814815,0.9056814814814813,0.9252697530864197
Mean,0.861599240265907,0.9893300094966763,0.944554605887939,0.9142913580246914,0.9274438034188035
